Gram(0),Gram local multiply(0),Gram shift(0),Gram all-reduce(0),Gram all-gather(0),Gram packing(0),Gram all-to-all(0),Gram unpacking(0),Eigensolve(0),TTM(0),TTM local multiply(0),TTM packing(0),TTM reduce-scatter(0),TTM reduce(0),Gram(1),Gram local multiply(1),Gram shift(1),Gram all-reduce(1),Gram all-gather(1),Gram packing(1),Gram all-to-all(1),Gram unpacking(1),Eigensolve(1),TTM(1),TTM local multiply(1),TTM packing(1),TTM reduce-scatter(1),TTM reduce(1),Gram(2),Gram local multiply(2),Gram shift(2),Gram all-reduce(2),Gram all-gather(2),Gram packing(2),Gram all-to-all(2),Gram unpacking(2),Eigensolve(2),TTM(2),TTM local multiply(2),TTM packing(2),TTM reduce-scatter(2),TTM reduce(2),Gram(3),Gram local multiply(3),Gram shift(3),Gram all-reduce(3),Gram all-gather(3),Gram packing(3),Gram all-to-all(3),Gram unpacking(3),Eigensolve(3),TTM(3),TTM local multiply(3),TTM packing(3),TTM reduce-scatter(3),TTM reduce(3),Gram(4),Gram local multiply(4),Gram shift(4),Gram all-reduce(4),Gram all-gather(4),Gram packing(4),Gram all-to-all(4),Gram unpacking(4),Eigensolve(4),TTM(4),TTM local multiply(4),TTM packing(4),TTM reduce-scatter(4),TTM reduce(4),Total
12.2218,10.4796,0,1.7396,0,0,0,0,3.34347,1.23704,1.08966,0,0,0,1.85233,0.777793,0,0.606224,0,0.0285986,0.395779,0.029085,9.08588,1.1445,0.0671037,0.0367678,0.278944,0,0.403467,0.0280847,0,0.327877,0,0.00122921,0.0412469,0.00165439,2.8059,0.347947,0.00550146,0,0,0.0273564,0.00660864,6.6935e-05,0,0.00653767,0,0,0,0,0.000103912,0.0724581,6.2276e-05,0,0,0,0.000698198,2.5445e-05,0,0.000494486,0,0,0.000167574,0,4.5272e-05,0.0918759,0.000123741,0,0,0.000961297,32.6255
12.222,10.494,0,1.72534,0,0,0,0,3.34783,1.2084,1.06518,0,0,0,1.87692,0.774847,0,0.640796,0,0.0301348,0.386959,0.0283973,9.06905,1.15163,0.0597032,0.0409376,0.275797,0,0.408415,0.0280323,0,0.327827,0,0.00127526,0.0461982,0.0016471,2.81047,0.345833,0.00564951,0,0,0.0294714,0.00432754,5.6496e-05,0,0.00426788,0,0,0,0,0.000127358,0.0724397,6.38e-05,0,0,0,0.000695389,2.8022e-05,0,0.000499505,0,0,0.000159518,0,4.5002e-05,0.0918147,0.000128645,0,0,0.000895837,32.6256
12.222,10.4836,0,1.73572,0,0,0,0,3.34971,1.23177,1.09014,0,0,0,1.85186,0.777137,0,0.622519,0,0.0286153,0.378759,0.0292728,9.07359,1.15215,0.0594415,0.0402209,0.279943,0,0.404926,0.0280054,0,0.327574,0,0.00126907,0.0430771,0.00163094,2.80657,0.348274,0.00557159,0,0,0.0281902,0.00572364,5.5305e-05,0,0.0056652,0,0,0,0,0.000176995,0.0723876,6.3201e-05,0,0,0,0.000695905,2.6152e-05,0,0.000496947,0,0,0.000164584,0,4.5622e-05,0.0917051,0.000126625,0,0,0.000789446,32.6254
12.2214,10.5115,0,1.7073,0,0,0,0,3.34821,1.1963,1.05335,0,0,0,1.88871,0.776152,0,0.628622,0,0.030176,0.408977,0.0289601,9.0752,1.15252,0.0593536,0.0400669,0.283189,0,0.403742,0.0281266,0,0.328302,0,0.00124109,0.0410228,0.00159365,2.81034,0.345957,0.00568512,0,0,0.0295019,0.00429404,5.6717e-05,0,0.00423466,0,0,0,0,0.000108493,0.072457,6.0504e-05,0,0,0,0.000698497,2.4713e-05,0,0.000496086,0,0,0.000166169,0,4.5678e-05,0.091781,0.000134428,0,0,0.000856228,32.625
12.2221,10.3844,0,1.83495,0,0,0,0,3.33334,1.23039,1.07261,0,0,0,1.8699,0.780406,0,0.629915,0,0.029607,0.385234,0.0285706,9.00917,1.22744,0.0596183,0.042819,0.284271,0,0.394762,0.0281548,0,0.328661,0,0.00133413,0.0313634,0.00159073,2.79957,0.358869,0.00554224,0,0,0.0318143,0.00214686,5.391e-05,0,0.00209105,0,0,0,0,0.000119672,0.0724404,7.8955e-05,0,0,0,0.000670699,2.5002e-05,0,0.000496307,0,0,0.000139127,0,4.863e-05,0.091817,0.000133156,0,0,0.000893025,32.6256
12.222,10.4199,0,1.79947,0,0,0,0,3.33839,1.22587,1.07319,0,0,0,1.86936,0.780374,0,0.636318,0,0.0288222,0.380819,0.0274408,9.01406,1.21781,0.0594021,0.042903,0.280818,0,0.398264,0.028002,0,0.327665,0,0.00134449,0.035906,0.00164767,2.81266,0.345375,0.00538162,0,0,0.0320294,0.00212929,5.3008e-05,0,0.00207398,0,0,0,0,9.4421e-05,0.0724406,5.7215e-05,0,0,0,0.000698105,2.5342e-05,0,0.000493978,0,0,0.000165542,0,4.8476e-05,0.0919174,0.000123662,0,0,0.00100291,32.6257
12.2221,10.4091,0,1.81023,0,0,0,0,3.34079,1.19014,1.03971,0,0,0,1.90283,0.775063,0,0.605332,0,0.0297355,0.44455,0.0296757,8.99757,1.23147,0.0595632,0.0431096,0.27874,0,0.399371,0.0281817,0,0.330107,0,0.0013761,0.0346246,0.00146108,2.81716,0.34278,0.0055695,0,0,0.0330698,0.000977608,5.6159e-05,0,0.000919628,0,0,0,0,0.000116083,0.0724255,5.7431e-05,0,0,0,0.000697434,2.8726e-05,0,0.000497884,0,0,0.000161198,0,4.7884e-05,0.091897,9.2599e-05,0,0,0.0119492,32.6257
12.2216,10.3777,0,1.84107,0,0,0,0,3.34656,1.21628,1.07178,0,0,0,1.87075,0.775861,0,0.604889,0,0.0290027,0.413263,0.0289633,8.99625,1.23386,0.0594052,0.0424111,0.281275,0,0.398277,0.0279144,0,0.328337,0,0.00132372,0.0354723,0.00161998,2.81632,0.342221,0.00545149,0,0,0.0318902,0.0022202,5.5135e-05,0,0.00216286,0,0,0,0,0.000113151,0.0724301,5.7991e-05,0,0,0,0.000698069,2.5166e-05,0,0.000491059,0,0,0.000171673,0,4.7925e-05,0.0918882,9.0689e-05,0,0,0.0119423,32.6252
12.2221,10.3792,0,1.84009,0,0,0,0,3.34655,1.21593,1.07143,0,0,0,1.87111,0.776797,0,0.604307,0,0.0293289,0.412336,0.029636,8.97564,1.26096,0.0594662,0.0430799,0.284455,0,0.394925,0.0280859,0,0.32751,0,0.00127075,0.0327096,0.00163184,2.8163,0.342745,0.00560551,0,0,0.0322083,0.00172302,5.4776e-05,0,0.00166632,0,0,0,0,0.000114116,0.0724312,5.7243e-05,0,0,0,0.000692781,2.5055e-05,0,0.000488554,0,0,0.000168603,0,5.0823e-05,0.0917876,0.000128815,0,0,0.0117846,32.6256
12.2221,10.4113,0,1.80802,0,0,0,0,3.3339,1.19634,1.03905,0,0,0,1.90336,0.778985,0,0.661201,0,0.0293699,0.392445,0.0261579,9.00739,1.22933,0.0596387,0.0429826,0.284463,0,0.394766,0.0281597,0,0.328601,0,0.00129409,0.0314958,0.00155907,2.81418,0.343554,0.00551395,0,0,0.0316015,0.00238952,6.1629e-05,0,0.00232466,0,0,0,0,0.000103701,0.0724434,5.8232e-05,0,0,0,0.000693776,2.5854e-05,0,0.000487307,0,0,0.000171828,0,5.0754e-05,0.0918235,8.788e-05,0,0,0.0118805,32.6256
